ID,Name,Codes,Selling price,Purchase price,concentrate,forage,grain,hay,pasture,silage,supplement
2,alfalfa,12001,3.18,3.18,0,1,0,1,0,0,0
3,coastal,12002,6.4,6.4,0,1,0,1,0,0,0
4,silage,12003,4,4,0,1,0,0,0,1,0
5,sorghum,12004,9.5,9.5,0,1,0,1,0,0,0
6,wheat,12005,9.62,9.62,0,1,0,1,0,0,0
7,cottnsd,12006,9.575,9.575,1,0,1,0,0,0,0
8,brewgrn,12007,7.3,7.3125,1,0,1,0,0,0,0
9,corngrn,12008,6.18,6.18,1,0,1,0,0,0,0
10,sorggrn,12009,6.2625,6.2625,1,0,1,0,0,0,0
11,soymeal,12010,18.3,18.3,1,0,1,0,0,0,0
12,cotmeal,12011,9.2,9.2,1,0,1,0,0,0,0
13,animalp,12012,11.75,11.75,1,0,1,0,0,0,0
14,drydist,12013,7.85,7.85,1,0,1,0,0,0,0
15,gluten,12014,6.45,6.45,1,0,1,0,0,0,0
16,cothull,12015,4.3,4.3,1,0,0,0,0,0,0
17,soyhull,12016,5.735,5.735,1,0,0,0,0,0,0
18,whmidds,12017,6.275,6.275,1,0,1,0,0,0,0
19,hominy,12018,6.45,6.45,1,0,1,0,0,0,0
20,caco3,12019,2.02,2.02,1,0,0,0,0,0,1
21,dicalph,12020,14.6,14.6,1,0,0,0,0,0,1
22,limestn,12021,5.5,5.5,1,0,0,0,0,0,1
23,vitsupa,12022,125.75,125.75,1,0,0,0,0,0,1
24,vitsupd,12023,85.75,85.75,1,0,0,0,0,0,1
25,vitsupe,12024,510.75,510.75,1,0,0,0,0,0,1
26,vitsup,12025,155.75,155.75,1,0,0,0,0,0,1
27,sorgsil,12026,1.9,1.9,0,1,0,0,0,1,0
28,whtsil,12027,2.075,2.075,0,1,0,0,0,1,0
29,barley,12028,7.39,7.39,1,0,1,0,0,0,0
30,salt,12029,3.71,3.71,1,0,0,0,0,0,1
31,trace,12030,36.75,36.75,1,0,0,0,0,0,1
32,iodate,12031,650.75,650.75,1,0,0,0,0,0,1
33,molases,12032,5.585,5.585,1,0,1,0,0,0,0
34,oats,12033,6.86,6.86,1,0,1,0,0,0,0
35,peanut,12034,20.1,20.1,1,0,1,0,0,0,0
36,sulfate,12035,25.75,25.75,1,0,0,0,0,0,1
37,calsulf,12036,11.75,11.75,1,0,0,0,0,0,1
38,copsulf,12037,62.75,62.75,1,0,0,0,0,0,1
39,mnoxide,12038,29.75,29.75,1,0,0,0,0,0,1
40,sulfur1,12039,19.75,19.75,1,0,0,0,0,0,1
41,glutmel,12040,15.1625,15.1625,1,0,1,0,0,0,0
42,beetplp,12041,7.175,7.175,1,0,1,0,0,0,0
43,tallow,12042,16.725,16.725,1,0,1,0,0,0,0
44,coasilg,12043,0.75,0.75,0,1,0,0,0,0,0
45,bicarb,12044,11.75,11.75,1,0,0,0,0,0,1
46,mgoxide,12045,11.5,11.5,1,0,0,0,0,0,1
47,pclorid,12046,8.14,8.14,1,0,0,0,0,0,1
48,psulph,12047,8.04,8.04,1,0,0,0,0,0,1
49,wheatp,12048,6,6,0,1,0,0,1,0,0
50,coastp,12049,6,6,0,1,0,0,1,0,0
51,cloverp,12050,5,5,0,1,0,0,1,0,0
52,ryegras,12051,5,5,0,1,0,0,1,0,0
53,rye,12052,9.17,9.17,0,1,0,0,1,0,0
54,oatgras,12053,0.65,0.65,0,1,0,0,1,0,0
55,Phytase,12054,1150,1150,1,0,0,0,0,0,1
56,Bromegrass,12055,5,5,0,1,0,0,1,0,0
57,Bluegrass,12056,6,6,0,1,0,0,1,0,0
58,CornSilage1,12057,4,4,0,1,0,0,0,1,0
59,Bahiagrass,12058,5,5,0,1,0,0,1,0,0
65,Corn,12059,6.18,6.18,1,0,1,0,0,0,0
66,Soybeans,12060,18.3,18.3,1,0,1,0,0,0,0
67,fruit,12061,21,21,1,0,1,0,0,0,0
68,flower,12062,12,12,1,0,1,0,0,0,0
69,tobacco,12063,198.8,198.8,1,0,1,0,0,0,0
70,safflower,12064,12.2,12.2,1,0,1,0,0,0,0
71,sunflower,12065,12,12,1,0,1,0,0,0,0
72,rice,12066,8.2,8.2,1,0,1,0,0,0,0
73,potatoes,12067,8.88,8.88,1,0,1,0,0,0,0
74,Nuts,12068,20.2,20.2,0,1,0,0,1,0,0
75,Vineyard,12069,0.75,0.75,0,1,0,0,1,0,0
76,Bushfruit,12070,21,21,0,1,0,0,1,0,0
77,Berries,12071,85,85,0,1,0,0,1,0,0
78,OtherHort,12072,12,12,0,1,0,0,1,0,0
79,Cotton,12073,60,60,0,1,0,0,1,0,0
80,Peanuts,12074,20.1,20.1,1,0,0,0,0,0,1
81,SugarBeets,12075,41.4,41.4,0,1,0,0,1,0,0
82,OtherVeg,12076,21.3,21.3,0,1,0,0,1,0,0
83,OtherRow,12077,4.73,4.73,0,1,0,0,0,1,0
84,OtherClose,12078,8.2,8.2,0,1,0,0,1,0,0
85,Haygrass,12079,3,3,1,0,1,0,0,0,0
86,HayLegume,12080,3,3,1,0,1,0,0,0,0
87,Otherhay,12081,3,3,1,0,1,0,0,0,0
88,PastureGrass,12082,3,3,1,0,1,0,0,0,0
89,PastureLegume,12083,3,3,1,0,1,0,0,0,0
90,OtherPasture,12084,3,3,1,0,1,0,0,0,0
91,Rangeland,12085,3,3,1,0,1,0,0,0,0
92,ForestGrazed,12086,2,2,1,0,1,0,0,0,0
93,ForestNongrazed,12087,2,2,1,0,1,0,0,0,0
94,Soybean,12088,18.3,18.3,1,0,1,0,0,0,0
95,Bermudagrass,12089,6.4,6.4,1,0,1,0,0,0,0
96,Switchgrass,12090,5,5,0,1,0,0,1,0,0
97,NewFeed,12091,6,6,1,0,1,0,0,0,0
98,Apples,12092,6,6,1,0,0,0,0,0,0
99,Barley silage,12093,1.41,1.41,0,1,0,0,0,1,0
100,Beets,12094,6,6,1,0,0,0,0,0,0
101,Brome,12095,2.75,2.75,0,1,0,1,1,0,0
102,Canola,12096,18.02,18.02,1,0,1,0,0,0,0
103,Clover,12097,5,5,1,0,1,0,0,0,0
104,Coastal hay,12098,5,5,0,1,0,1,0,0,0
105,Coastal silage,12099,2,2,0,1,0,0,0,1,0
106,Corn silage,12100,1.95,1.95,0,1,0,0,0,1,0
107,Cottonseed,12101,19.67,19.67,1,0,1,0,0,0,0
108,CRP,12102,3,3,0,0,0,0,0,0,0
109,Fallow,12103,3,3,0,0,0,0,0,0,0
110,Fescue,12104,2.75,2.75,0,1,0,1,1,0,0
111,Forage,12105,2.75,2.75,0,1,0,0,0,0,0
112,Forage_Hay,12106,2.75,2.75,0,1,0,1,0,0,0
113,Grass,12107,2.75,2.75,0,1,0,1,1,0,0
114,Greenfeed,12108,2.49,2.49,0,1,0,0,1,0,0
115,Haylage,12109,1.36,1.36,0,1,0,0,0,1,0
116,Mixed grass,12110,2,2,0,1,0,1,1,0,0
117,native,12111,2,2,0,1,0,1,1,0,0
118,Native grass,12112,2,2,0,1,0,1,1,0,0
119,Orchardgrass,12113,6,6,0,1,0,1,1,0,0
120,OtherSetaside,12114,6,6,0,0,0,0,0,0,0
121,tame,12115,2.75,2.75,0,1,0,1,1,0,0
122,Timothy,12116,6.94,6.94,0,1,0,1,1,0,0
123,Winter wheat,12117,9.62,9.62,1,0,1,0,0,0,0
124,pasture,12118,2,2,0,1,0,0,1,0,0
125,wheatgrass,12119,3,3,0,1,0,0,1,0,0
126,barley_straw,12120,1.73,1.73,0,1,0,1,0,0,0
127,wheat_straw,12121,1.73,1.73,0,1,0,1,0,0,0
128,straw,12122,1.73,1.73,0,1,0,1,0,0,0
129,Alfalfa/grass hay,12123,3.18,3.18,0,1,0,1,0,0,0
130,Alf/grass < 50%,12124,2.96,2.96,0,1,0,1,0,0,0
131,Grass hay,12125,2.75,2.75,0,1,0,1,0,0,0
132,Alfalfa silage,12126,1.46,1.46,0,1,0,0,0,1,0
133,Alfalfa/grass silage,12127,1.36,1.36,0,1,0,0,0,1,0
134,Alfalfa/grass hay < 50%,12128,2.96,2.96,0,1,0,1,0,0,0
135,Alfalfa_haylage,12129,1.36,1.36,0,1,0,0,0,1,0
