Name,Unit,Lease Rate,New Price,New Hours,Current Price,Hours Remain,Width,Speed,Field Eff.,Hours Power,Rf1,Rf2,Ir Loan,L Loan,Ir Equity,P Debt,Year,Rv1,Rv2
2,4w asst 40 hp diesel,each,100,174990,12000,159080,12000,0.3,0,0,30,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
3,4w asst 55 hp diesel,each,100,20515,12000,18650,12000,0.3,0,0,41,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
4,4w asst 85 hp diesel,each,100,32848,12000,29862,12000,0.3,0,0,63,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
5,4w asst 100 hp diesel,each,100,42342,12000,38492,12000,0.3,0,0,75,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
6,4w asst 135 hp diesel,each,100,60270,12000,54791,12000,0.3,0,0,101,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
7,4w asst 175 hp diesel,each,100,90069,12000,81881,12000,0.3,0,0,130,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
8,4w asst 205 hp diesel,each,100,110567,12000,100515,12000,0.3,0,0,153,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
9,4w asst 225 hp diesel,each,100,124266,12000,112969,12000,0.3,0,0,168,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
10,4w asst 290 hp diesel,each,100,157418,12000,143107,12000,0.3,0,0,216,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
11,Aerial app-fert,each,100,19,15000,17,15000,3,3.22,82.5,7,0.63,1.3,0.08,5,0.08,0.5,4,0.68,0.92
12,Aerial app-insect 562,each,100,7,1,7,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
13,Aerial chem application,each,100,27529,2500,25027,2500,9.1,8.1,80,0,0.2,1.6,0.08,5,0.08,0.5,4,0.6,0.885
14,Aerial fert application,each,100,86837,2000,78942,2000,9.1,6.44,67,0,0.63,1.3,0.08,5,0.08,0.5,4,0.56,0.885
15,Aerial seeding,each,100,14913,1200,13557,1200,6.1,4.83,80,0,0.32,2.1,0.08,5,0.08,0.5,4,0.6,0.885
16,Air delivery drill,each,100,37300,8000,37300,8000,8,6,70,75,0.007,2,0.08,5,0.08,0.5,4,0.68,0.92
17,Air delivery row planter,each,100,118525,8000,118525,8000,8,6,70,225,0.003,2,0.08,5,0.08,0.5,4,0.68,0.92
18,Aircraft seeded,each,100,4950,750,4950,750,14,4.45,80,0,0.22,1.8,0.08,5,0.08,0.5,4,0.56,0.885
19,Al drip irrigation,each,100,14809,2000,13463,2000,0.9,1.61,95,0,0.19,1.3,0.08,5,0.08,0.5,4,0.6,1.097
20,Anhyd fert app tractor mt,each,100,6154,1200,5594,1200,9.1,6.44,65,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
21,Anhyd fert app trailer mt,each,100,13252,1200,12047,1200,9.1,6.44,65,0,0.63,1.3,0.08,5,0.08,0.5,4,0.6,0.885
22,Auger - auger,each,100,1,1,1,1,8,6,70,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
23,Auger - grain auger,each,100,6000,1,6000,1,8,6,70,0,0.43,1.8,0.08,5,0.08,0.5,4,0.6,0.885
24,Backhoe,each,100,153099,2000,139181,2000,2.1,16.09,85,75,0.007,2,0.08,5,0.08,0.5,4,0.6,0.885
25,Bagging & ties 632,each,100,76,1,76,1,0,0,0,0,0,0,0.08,5,0.08,0.5,4,0,0
