State|County|ID| Polygon Point Coordinates
MD|Prince Georges|1|-76.889347,39.129453 -76.889347,39.118407 -76.906233,39.118407 -76.9021,39.120811 -76.898697,39.12141 -76.893494,39.123013 -76.891098,39.126312 -76.889347,39.129453
MD|Prince Georges|2|-76.906395,39.118313 -76.906233,39.118407 -76.897087,39.118407 -76.897087,39.109938 -76.905479,39.109938 -76.903496,39.113514 -76.905396,39.116314 -76.906395,39.118313
MD|Prince Georges|3|-76.889347,39.118407 -76.889347,39.109938 -76.897087,39.109938 -76.897087,39.118407 -76.889347,39.118407
MD|Prince Georges|4|-76.913927,39.096941 -76.9076,39.106113 -76.905479,39.109938 -76.904477,39.109938 -76.904477,39.096941 -76.913927,39.096941
MD|Prince Georges|5|-76.904477,39.109938 -76.899434,39.109938 -76.899434,39.096941 -76.904477,39.096941 -76.904477,39.109938
MD|Prince Georges|6|-76.889347,39.109938 -76.889347,39.103439 -76.899434,39.103439 -76.899434,39.109938 -76.889347,39.109938
MD|Prince Georges|7|-76.889347,39.103439 -76.889347,39.096941 -76.899434,39.096941 -76.899434,39.103439 -76.889347,39.103439
MD|Prince Georges|8|-76.912351,39.096941 -76.912351,39.085355 -76.92222,39.085355 -76.917397,39.091911 -76.913927,39.096941 -76.912351,39.096941
MD|Prince Georges|9|-76.912351,39.085355 -76.912351,39.079845 -76.926273,39.079845 -76.92222,39.085355 -76.912351,39.085355
MD|Prince Georges|10|-76.904683,39.096941 -76.904683,39.088393 -76.912351,39.088393 -76.912351,39.096941 -76.904683,39.096941
MD|Prince Georges|11|-76.904683,39.088393 -76.904683,39.079845 -76.912351,39.079845 -76.912351,39.088393 -76.904683,39.088393
MD|Prince Georges|12|-76.904683,39.096941 -76.897015,39.096941 -76.897015,39.088393 -76.904683,39.088393 -76.904683,39.096941
MD|Prince Georges|13|-76.897015,39.096941 -76.889347,39.096941 -76.889347,39.088393 -76.897015,39.088393 -76.897015,39.096941
MD|Prince Georges|14|-76.904683,39.088393 -76.897015,39.088393 -76.897015,39.079845 -76.904683,39.079845 -76.904683,39.088393
MD|Prince Georges|15|-76.897015,39.088393 -76.889347,39.088393 -76.889347,39.079845 -76.897015,39.079845 -76.897015,39.088393
MD|Prince Georges|16|-76.923383,39.079845 -76.923383,39.069858 -76.93362,39.069858 -76.926273,39.079845 -76.923383,39.079845
MD|Prince Georges|17|-76.923383,39.069858 -76.923383,39.064473 -76.937421,39.064473 -76.937393,39.06451 -76.935493,39.06731 -76.93362,39.069858 -76.923383,39.069858
MD|Prince Georges|18|-76.943226,39.056735 -76.937421,39.064473 -76.931853,39.064473 -76.931853,39.056735 -76.943226,39.056735
MD|Prince Georges|19|-76.931853,39.064473 -76.923383,39.064473 -76.923383,39.056735 -76.931853,39.056735 -76.931853,39.064473
MD|Prince Georges|20|-76.912038,39.079845 -76.912038,39.074067 -76.923383,39.074067 -76.923383,39.079845 -76.912038,39.079845
MD|Prince Georges|21|-76.912038,39.074067 -76.912038,39.06829 -76.923383,39.06829 -76.923383,39.074067 -76.912038,39.074067
MD|Prince Georges|22|-76.912038,39.06829 -76.912038,39.062512 -76.923383,39.062512 -76.923383,39.06829 -76.912038,39.06829
MD|Prince Georges|23|-76.912038,39.062512 -76.912038,39.056735 -76.923383,39.056735 -76.923383,39.062512 -76.912038,39.062512
MD|Prince Georges|24|-76.900692,39.079845 -76.900692,39.074067 -76.912038,39.074067 -76.912038,39.079845 -76.900692,39.079845
MD|Prince Georges|25|-76.900692,39.074067 -76.900692,39.06829 -76.912038,39.06829 -76.912038,39.074067 -76.900692,39.074067
MD|Prince Georges|26|-76.889347,39.079845 -76.889347,39.074067 -76.900692,39.074067 -76.900692,39.079845 -76.889347,39.079845
MD|Prince Georges|27|-76.889347,39.074067 -76.889347,39.06829 -76.900692,39.06829 -76.900692,39.074067 -76.889347,39.074067
MD|Prince Georges|28|-76.900692,39.06829 -76.900692,39.062512 -76.912038,39.062512 -76.912038,39.06829 -76.900692,39.06829
MD|Prince Georges|29|-76.900692,39.062512 -76.900692,39.056735 -76.912038,39.056735 -76.912038,39.062512 -76.900692,39.062512
MD|Prince Georges|30|-76.889347,39.06829 -76.889347,39.062512 -76.900692,39.062512 -76.900692,39.06829 -76.889347,39.06829
MD|Prince Georges|31|-76.889347,39.062512 -76.889347,39.056735 -76.900692,39.056735 -76.900692,39.062512 -76.889347,39.062512
MD|Prince Georges|32|-76.939978,39.056735 -76.939978,39.047146 -76.950354,39.047146 -76.948494,39.049713 -76.943226,39.056735 -76.939978,39.056735
MD|Prince Georges|33|-76.957422,39.03767 -76.955597,39.039913 -76.950354,39.047146 -76.946895,39.047146 -76.946895,39.03767 -76.957422,39.03767
MD|Prince Georges|34|-76.946895,39.047146 -76.939978,39.047146 -76.939978,39.03767 -76.946895,39.03767 -76.946895,39.047146
MD|Prince Georges|35|-76.96637,39.025664 -76.960197,39.03371 -76.957794,39.037212 -76.957422,39.03767 -76.956357,39.03767 -76.956357,39.025664 -76.96637,39.025664
MD|Prince Georges|36|-76.956357,39.03767 -76.950897,39.03767 -76.950897,39.025664 -76.956357,39.025664 -76.956357,39.03767
MD|Prince Georges|37|-76.939978,39.03767 -76.939978,39.031667 -76.950897,39.031667 -76.950897,39.03767 -76.939978,39.03767
MD|Prince Georges|38|-76.939978,39.031667 -76.939978,39.025664 -76.950897,39.025664 -76.950897,39.031667 -76.939978,39.031667
MD|Prince Georges|39|-76.93154,39.056735 -76.93154,39.048967 -76.939978,39.048967 -76.939978,39.056735 -76.93154,39.056735
MD|Prince Georges|40|-76.93154,39.048967 -76.93154,39.0412 -76.939978,39.0412 -76.939978,39.048967 -76.93154,39.048967
MD|Prince Georges|41|-76.923101,39.056735 -76.923101,39.048967 -76.93154,39.048967 -76.93154,39.056735 -76.923101,39.056735
MD|Prince Georges|42|-76.923101,39.048967 -76.923101,39.0412 -76.93154,39.0412 -76.93154,39.048967 -76.923101,39.048967
MD|Prince Georges|43|-76.93154,39.0412 -76.93154,39.033432 -76.939978,39.033432 -76.939978,39.0412 -76.93154,39.0412
MD|Prince Georges|44|-76.93154,39.033432 -76.93154,39.025664 -76.939978,39.025664 -76.939978,39.033432 -76.93154,39.033432
MD|Prince Georges|45|-76.923101,39.0412 -76.923101,39.033432 -76.93154,39.033432 -76.93154,39.0412 -76.923101,39.0412
MD|Prince Georges|46|-76.923101,39.033432 -76.923101,39.025664 -76.93154,39.025664 -76.93154,39.033432 -76.923101,39.033432
MD|Prince Georges|47|-76.914662,39.056735 -76.914662,39.048967 -76.923101,39.048967 -76.923101,39.056735 -76.914662,39.056735
MD|Prince Georges|48|-76.914662,39.048967 -76.914662,39.0412 -76.923101,39.0412 -76.923101,39.048967 -76.914662,39.048967
MD|Prince Georges|49|-76.906224,39.056735 -76.906224,39.048967 -76.914662,39.048967 -76.914662,39.056735 -76.906224,39.056735
MD|Prince Georges|50|-76.906224,39.048967 -76.906224,39.0412 -76.914662,39.0412 -76.914662,39.048967 -76.906224,39.048967
MD|Prince Georges|51|-76.914662,39.0412 -76.914662,39.033432 -76.923101,39.033432 -76.923101,39.0412 -76.914662,39.0412
MD|Prince Georges|52|-76.914662,39.033432 -76.914662,39.025664 -76.923101,39.025664 -76.923101,39.033432 -76.914662,39.033432
