State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Bexar,1,-98.784323,29.714 -98.784323,29.702371 -98.795594,29.702371 -98.784323,29.714
TX,Bexar,2,-98.784323,29.702371 -98.784323,29.697554 -98.800263,29.697554 -98.795594,29.702371 -98.784323,29.702371
TX,Bexar,3,-98.778496,29.720013 -98.777706,29.719954 -98.777706,29.707458 -98.784323,29.707458 -98.784323,29.714 -98.778496,29.720013
TX,Bexar,4,-98.777706,29.707458 -98.777706,29.697554 -98.784323,29.697554 -98.784323,29.707458 -98.777706,29.707458
TX,Bexar,5,-98.806694,29.690613 -98.8004,29.697412 -98.800263,29.697554 -98.799405,29.697554 -98.799405,29.685473 -98.806608,29.685473 -98.806694,29.690613
TX,Bexar,6,-98.799405,29.697554 -98.79398,29.697554 -98.79398,29.685473 -98.799405,29.685473 -98.799405,29.697554
TX,Bexar,7,-98.79398,29.697554 -98.788556,29.697554 -98.788556,29.685473 -98.79398,29.685473 -98.79398,29.697554
TX,Bexar,8,-98.777706,29.697554 -98.777706,29.691513 -98.788556,29.691513 -98.788556,29.697554 -98.777706,29.697554
TX,Bexar,9,-98.777706,29.691513 -98.777706,29.685473 -98.788556,29.685473 -98.788556,29.691513 -98.777706,29.691513
TX,Bexar,10,-98.777706,29.719954 -98.775795,29.719812 -98.773796,29.720112 -98.770996,29.720911 -98.768971,29.720485 -98.768971,29.712789 -98.777706,29.712789 -98.777706,29.719954
TX,Bexar,11,-98.768971,29.720485 -98.767197,29.720112 -98.761497,29.721912 -98.760912,29.721912 -98.760912,29.712789 -98.768971,29.712789 -98.768971,29.720485
TX,Bexar,12,-98.777706,29.712789 -98.769309,29.712789 -98.769309,29.704984 -98.777706,29.704984 -98.777706,29.712789
TX,Bexar,13,-98.769309,29.712789 -98.760912,29.712789 -98.760912,29.704984 -98.769309,29.704984 -98.769309,29.712789
TX,Bexar,14,-98.777706,29.704984 -98.769309,29.704984 -98.769309,29.69718 -98.777706,29.69718 -98.777706,29.704984
