State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Brazoria,1,-95.847926,29.263901 -95.835564,29.274504 -95.835564,29.263901 -95.847926,29.263901
TX,Brazoria,2,-95.835564,29.274504 -95.830444,29.278896 -95.830444,29.263901 -95.835564,29.263901 -95.835564,29.274504
TX,Brazoria,3,-95.820284,29.28761 -95.820284,29.276803 -95.830444,29.276803 -95.830444,29.278896 -95.820284,29.28761
TX,Brazoria,4,-95.820284,29.276803 -95.820284,29.270352 -95.830444,29.270352 -95.830444,29.276803 -95.820284,29.276803
TX,Brazoria,5,-95.820284,29.270352 -95.820284,29.263901 -95.830444,29.263901 -95.830444,29.270352 -95.820284,29.270352
TX,Brazoria,6,-95.808924,29.297949 -95.808924,29.286977 -95.820284,29.286977 -95.820284,29.28761 -95.819,29.288712 -95.808924,29.297949
TX,Brazoria,7,-95.808924,29.286977 -95.808924,29.281208 -95.820284,29.281208 -95.820284,29.286977 -95.808924,29.286977
TX,Brazoria,8,-95.808924,29.281208 -95.808924,29.275439 -95.820284,29.275439 -95.820284,29.281208 -95.808924,29.281208
TX,Brazoria,9,-95.808924,29.275439 -95.808924,29.26967 -95.820284,29.26967 -95.820284,29.275439 -95.808924,29.275439
TX,Brazoria,10,-95.808924,29.26967 -95.808924,29.263901 -95.820284,29.263901 -95.820284,29.26967 -95.808924,29.26967
TX,Brazoria,11,-95.840019,29.263901 -95.840019,29.252599 -95.848997,29.252599 -95.842293,29.259512 -95.845695,29.261112 -95.848495,29.263412 -95.847926,29.263901 -95.840019,29.263901
TX,Brazoria,12,-95.840019,29.252599 -95.840019,29.24704 -95.854847,29.24704 -95.8517,29.249813 -95.848997,29.252599 -95.840019,29.252599
TX,Brazoria,13,-95.828358,29.263901 -95.828358,29.258281 -95.840019,29.258281 -95.840019,29.263901 -95.828358,29.263901
TX,Brazoria,14,-95.840019,29.258281 -95.834188,29.258281 -95.834188,29.24704 -95.840019,29.24704 -95.840019,29.258281
TX,Brazoria,15,-95.834188,29.258281 -95.828358,29.258281 -95.828358,29.24704 -95.834188,29.24704 -95.834188,29.258281
TX,Brazoria,16,-95.820584,29.263901 -95.820584,29.255471 -95.828358,29.255471 -95.828358,29.263901 -95.820584,29.263901
TX,Brazoria,17,-95.820584,29.255471 -95.820584,29.24704 -95.828358,29.24704 -95.828358,29.255471 -95.820584,29.255471
TX,Brazoria,18,-95.808924,29.263901 -95.808924,29.258281 -95.820584,29.258281 -95.820584,29.263901 -95.808924,29.263901
TX,Brazoria,19,-95.820584,29.258281 -95.814754,29.258281 -95.814754,29.24704 -95.820584,29.24704 -95.820584,29.258281
TX,Brazoria,20,-95.814754,29.258281 -95.808924,29.258281 -95.808924,29.24704 -95.814754,29.24704 -95.814754,29.258281
TX,Brazoria,21,-95.869635,29.233682 -95.8601,29.242413 -95.857661,29.244561 -95.857661,29.233682 -95.869635,29.233682
TX,Brazoria,22,-95.857661,29.244561 -95.854847,29.24704 -95.852494,29.24704 -95.852494,29.233682 -95.857661,29.233682 -95.857661,29.244561
TX,Brazoria,23,-95.874298,29.229412 -95.869635,29.233682 -95.864735,29.233682 -95.864735,29.222974 -95.866058,29.222974 -95.867393,29.224112 -95.874298,29.229412
TX,Brazoria,24,-95.864735,29.233682 -95.858614,29.233682 -95.858614,29.222974 -95.864735,29.222974 -95.864735,29.233682
TX,Brazoria,25,-95.858614,29.233682 -95.852494,29.233682 -95.852494,29.222974 -95.858614,29.222974 -95.858614,29.233682
TX,Brazoria,26,-95.852494,29.24704 -95.845686,29.24704 -95.845686,29.237414 -95.852494,29.237414 -95.852494,29.24704
TX,Brazoria,27,-95.845686,29.24704 -95.838878,29.24704 -95.838878,29.237414 -95.845686,29.237414 -95.845686,29.24704
TX,Brazoria,28,-95.838878,29.237414 -95.838878,29.2326 -95.852494,29.2326 -95.852494,29.237414 -95.838878,29.237414
TX,Brazoria,29,-95.852494,29.2326 -95.845686,29.2326 -95.845686,29.222974 -95.852494,29.222974 -95.852494,29.2326
TX,Brazoria,30,-95.845686,29.2326 -95.838878,29.2326 -95.838878,29.222974 -95.845686,29.222974 -95.845686,29.2326
TX,Brazoria,31,-95.838878,29.24704 -95.832071,29.24704 -95.832071,29.237414 -95.838878,29.237414 -95.838878,29.24704
TX,Brazoria,32,-95.832071,29.24704 -95.825263,29.24704 -95.825263,29.237414 -95.832071,29.237414 -95.832071,29.24704
TX,Brazoria,33,-95.825263,29.237414 -95.825263,29.2326 -95.838878,29.2326 -95.838878,29.237414 -95.825263,29.237414
TX,Brazoria,34,-95.838878,29.2326 -95.832071,29.2326 -95.832071,29.222974 -95.838878,29.222974 -95.838878,29.2326
TX,Brazoria,35,-95.832071,29.2326 -95.825263,29.2326 -95.825263,29.222974 -95.832071,29.222974 -95.832071,29.2326
TX,Brazoria,36,-95.825263,29.24704 -95.819816,29.24704 -95.819816,29.235007 -95.825263,29.235007 -95.825263,29.24704
TX,Brazoria,37,-95.808924,29.24704 -95.808924,29.241024 -95.819816,29.241024 -95.819816,29.24704 -95.808924,29.24704
TX,Brazoria,38,-95.808924,29.241024 -95.808924,29.235007 -95.819816,29.235007 -95.819816,29.241024 -95.808924,29.241024
