State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,1,-96.928866,28.587616 -96.914461,28.596717 -96.914461,28.587616 -96.928866,28.587616
TX,Calhoun,2,-96.903915,28.603379 -96.903915,28.593832 -96.914461,28.593832 -96.914461,28.596717 -96.903915,28.603379
TX,Calhoun,3,-96.903915,28.593832 -96.903915,28.587616 -96.914461,28.587616 -96.914461,28.593832 -96.903915,28.593832
TX,Calhoun,4,-96.890776,28.611772 -96.890776,28.602582 -96.903915,28.602582 -96.903915,28.603379 -96.902597,28.604212 -96.890776,28.611772
TX,Calhoun,5,-96.890776,28.602582 -96.890776,28.597594 -96.903915,28.597594 -96.903915,28.602582 -96.890776,28.602582
TX,Calhoun,6,-96.903915,28.597594 -96.897346,28.597594 -96.897346,28.587616 -96.903915,28.587616 -96.903915,28.597594
TX,Calhoun,7,-96.897346,28.597594 -96.890776,28.597594 -96.890776,28.587616 -96.897346,28.587616 -96.897346,28.597594
TX,Calhoun,8,-96.914893,28.587616 -96.914893,28.58258 -96.925409,28.58258 -96.926193,28.583612 -96.928597,28.585612 -96.930297,28.586712 -96.928866,28.587616 -96.914893,28.587616
TX,Calhoun,9,-96.914893,28.58258 -96.914893,28.571258 -96.916711,28.571258 -96.921797,28.579012 -96.924294,28.581112 -96.925409,28.58258 -96.914893,28.58258
TX,Calhoun,10,-96.914893,28.587616 -96.906804,28.587616 -96.906804,28.579513 -96.914893,28.579513 -96.914893,28.587616
TX,Calhoun,11,-96.906804,28.579513 -96.906804,28.571258 -96.907549,28.571258 -96.909397,28.572212 -96.910122,28.571258 -96.914893,28.571258 -96.914893,28.579513 -96.906804,28.579513
TX,Calhoun,12,-96.906804,28.587616 -96.89879,28.587616 -96.89879,28.579437 -96.906804,28.579437 -96.906804,28.587616
TX,Calhoun,13,-96.89879,28.587616 -96.890776,28.587616 -96.890776,28.579437 -96.89879,28.579437 -96.89879,28.587616
TX,Calhoun,14,-96.906804,28.579437 -96.89879,28.579437 -96.89879,28.571258 -96.906804,28.571258 -96.906804,28.579437
TX,Calhoun,15,-96.89879,28.579437 -96.890776,28.579437 -96.890776,28.571258 -96.89879,28.571258 -96.89879,28.579437
TX,Calhoun,16,-96.890776,28.611772 -96.880151,28.618568 -96.880151,28.609001 -96.890776,28.609001 -96.890776,28.611772
TX,Calhoun,17,-96.869936,28.625101 -96.869936,28.615417 -96.880151,28.615417 -96.880151,28.618568 -96.869936,28.625101
TX,Calhoun,18,-96.869936,28.615417 -96.869936,28.609001 -96.880151,28.609001 -96.880151,28.615417 -96.869936,28.615417
TX,Calhoun,19,-96.880356,28.609001 -96.880356,28.60271 -96.890776,28.60271 -96.890776,28.609001 -96.880356,28.609001
TX,Calhoun,20,-96.880356,28.60271 -96.880356,28.59642 -96.890776,28.59642 -96.890776,28.60271 -96.880356,28.60271
TX,Calhoun,21,-96.869936,28.609001 -96.869936,28.60271 -96.880356,28.60271 -96.880356,28.609001 -96.869936,28.609001
TX,Calhoun,22,-96.869936,28.60271 -96.869936,28.59642 -96.880356,28.59642 -96.880356,28.60271 -96.869936,28.60271
TX,Calhoun,23,-96.880356,28.59642 -96.880356,28.590129 -96.890776,28.590129 -96.890776,28.59642 -96.880356,28.59642
TX,Calhoun,24,-96.880356,28.590129 -96.880356,28.583839 -96.890776,28.583839 -96.890776,28.590129 -96.880356,28.590129
TX,Calhoun,25,-96.869936,28.59642 -96.869936,28.590129 -96.880356,28.590129 -96.880356,28.59642 -96.869936,28.59642
TX,Calhoun,26,-96.869936,28.590129 -96.869936,28.583839 -96.880356,28.583839 -96.880356,28.590129 -96.869936,28.590129
TX,Calhoun,27,-96.880356,28.583839 -96.880356,28.577548 -96.890776,28.577548 -96.890776,28.583839 -96.880356,28.583839
TX,Calhoun,28,-96.880356,28.577548 -96.880356,28.571258 -96.890776,28.571258 -96.890776,28.577548 -96.880356,28.577548
TX,Calhoun,29,-96.869936,28.583839 -96.869936,28.577548 -96.880356,28.577548 -96.880356,28.583839 -96.869936,28.583839
