State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Comal,1,-98.564481,29.811504 -98.55182,29.821861 -98.55182,29.811504 -98.564481,29.811504
TX,Comal,2,-98.55182,29.821861 -98.546576,29.826151 -98.546576,29.811504 -98.55182,29.811504 -98.55182,29.821861
TX,Comal,3,-98.539159,29.832217 -98.539159,29.820344 -98.546576,29.820344 -98.546576,29.826151 -98.539159,29.832217
TX,Comal,4,-98.539159,29.820344 -98.539159,29.811504 -98.546576,29.811504 -98.546576,29.820344 -98.539159,29.820344
TX,Comal,5,-98.528679,29.840856 -98.528679,29.830272 -98.539159,29.830272 -98.539159,29.832217 -98.536598,29.834312 -98.528679,29.840856
TX,Comal,6,-98.528679,29.830272 -98.528679,29.824016 -98.539159,29.824016 -98.539159,29.830272 -98.528679,29.830272
TX,Comal,7,-98.528679,29.824016 -98.528679,29.81776 -98.539159,29.81776 -98.539159,29.824016 -98.528679,29.824016
TX,Comal,8,-98.528679,29.81776 -98.528679,29.811504 -98.539159,29.811504 -98.539159,29.81776 -98.528679,29.81776
TX,Comal,9,-98.513889,29.853077 -98.513889,29.842668 -98.526486,29.842668 -98.513889,29.853077
TX,Comal,10,-98.513889,29.842668 -98.513889,29.838101 -98.528679,29.838101 -98.528679,29.840856 -98.526486,29.842668 -98.513889,29.842668
TX,Comal,11,-98.528679,29.838101 -98.521284,29.838101 -98.521284,29.829235 -98.528679,29.829235 -98.528679,29.838101
TX,Comal,12,-98.521284,29.838101 -98.513889,29.838101 -98.513889,29.829235 -98.521284,29.829235 -98.521284,29.838101
TX,Comal,13,-98.528679,29.829235 -98.521284,29.829235 -98.521284,29.820369 -98.528679,29.820369 -98.528679,29.829235
TX,Comal,14,-98.521284,29.829235 -98.513889,29.829235 -98.513889,29.820369 -98.521284,29.820369 -98.521284,29.829235
TX,Comal,15,-98.528679,29.820369 -98.521284,29.820369 -98.521284,29.811504 -98.528679,29.811504 -98.528679,29.820369
TX,Comal,16,-98.521284,29.820369 -98.513889,29.820369 -98.513889,29.811504 -98.521284,29.811504 -98.521284,29.820369
TX,Comal,17,-98.499183,29.864982 -98.499183,29.85473 -98.511889,29.85473 -98.5084,29.857613 -98.499183,29.864982
TX,Comal,18,-98.499183,29.85473 -98.499183,29.850159 -98.513889,29.850159 -98.513889,29.853077 -98.511889,29.85473 -98.499183,29.85473
TX,Comal,19,-98.491839,29.871089 -98.491839,29.859087 -98.499183,29.859087 -98.499183,29.864982 -98.497894,29.866013 -98.491839,29.871089
TX,Comal,20,-98.491839,29.859087 -98.491839,29.850159 -98.499183,29.850159 -98.499183,29.859087 -98.491839,29.859087
TX,Comal,21,-98.502864,29.850159 -98.502864,29.844212 -98.513889,29.844212 -98.513889,29.850159 -98.502864,29.850159
TX,Comal,22,-98.502864,29.844212 -98.502864,29.838265 -98.513889,29.838265 -98.513889,29.844212 -98.502864,29.844212
TX,Comal,23,-98.491839,29.850159 -98.491839,29.844212 -98.502864,29.844212 -98.502864,29.850159 -98.491839,29.850159
TX,Comal,24,-98.491839,29.844212 -98.491839,29.838265 -98.502864,29.838265 -98.502864,29.844212 -98.491839,29.844212
TX,Comal,25,-98.502864,29.838265 -98.502864,29.832318 -98.513889,29.832318 -98.513889,29.838265 -98.502864,29.838265
TX,Comal,26,-98.502864,29.832318 -98.502864,29.826371 -98.513889,29.826371 -98.513889,29.832318 -98.502864,29.832318
TX,Comal,27,-98.491839,29.838265 -98.491839,29.832318 -98.502864,29.832318 -98.502864,29.838265 -98.491839,29.838265
TX,Comal,28,-98.491839,29.832318 -98.491839,29.826371 -98.502864,29.826371 -98.502864,29.832318 -98.491839,29.832318
TX,Comal,29,-98.505069,29.826371 -98.505069,29.818938 -98.513889,29.818938 -98.513889,29.826371 -98.505069,29.826371
TX,Comal,30,-98.505069,29.818938 -98.505069,29.811504 -98.513889,29.811504 -98.513889,29.818938 -98.505069,29.818938
