State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Jackson,1,-96.923531,29.074342 -96.910208,29.084183 -96.910208,29.074342 -96.923531,29.074342
TX,Jackson,2,-96.900455,29.091386 -96.900455,29.081063 -96.910208,29.081063 -96.910208,29.084183 -96.900455,29.091386
TX,Jackson,3,-96.900455,29.081063 -96.900455,29.074342 -96.910208,29.074342 -96.910208,29.081063 -96.900455,29.081063
TX,Jackson,4,-96.890897,29.098446 -96.890897,29.088058 -96.900455,29.088058 -96.900455,29.091386 -96.890897,29.098446
TX,Jackson,5,-96.890897,29.088058 -96.890897,29.0812 -96.900455,29.0812 -96.900455,29.088058 -96.890897,29.088058
TX,Jackson,6,-96.890897,29.0812 -96.890897,29.074342 -96.900455,29.074342 -96.900455,29.0812 -96.890897,29.0812
TX,Jackson,7,-96.877426,29.108482 -96.877426,29.098675 -96.890587,29.098675 -96.8881,29.100512 -96.884897,29.103112 -96.877426,29.108482
TX,Jackson,8,-96.890897,29.098446 -96.890587,29.098675 -96.884159,29.098675 -96.884159,29.08894 -96.890897,29.08894 -96.890897,29.098446
TX,Jackson,9,-96.884159,29.098675 -96.877426,29.098675 -96.877426,29.08894 -96.884159,29.08894 -96.884159,29.098675
TX,Jackson,10,-96.877426,29.08894 -96.877426,29.084074 -96.890897,29.084074 -96.890897,29.08894 -96.877426,29.08894
TX,Jackson,11,-96.890897,29.084074 -96.884161,29.084074 -96.884161,29.074342 -96.890897,29.074342 -96.890897,29.084074
TX,Jackson,12,-96.884161,29.084074 -96.877426,29.084074 -96.877426,29.074342 -96.884161,29.074342 -96.884161,29.084074
TX,Jackson,13,-96.877426,29.108482 -96.875298,29.110012 -96.867832,29.115311 -96.867832,29.105071 -96.877426,29.105071 -96.877426,29.108482
TX,Jackson,14,-96.858227,29.122128 -96.858227,29.111895 -96.867832,29.111895 -96.867832,29.115311 -96.858227,29.122128
TX,Jackson,15,-96.858227,29.111895 -96.858227,29.105071 -96.867832,29.105071 -96.867832,29.111895 -96.858227,29.111895
TX,Jackson,16,-96.877426,29.105071 -96.871026,29.105071 -96.871026,29.094828 -96.877426,29.094828 -96.877426,29.105071
TX,Jackson,17,-96.871026,29.105071 -96.864627,29.105071 -96.864627,29.094828 -96.871026,29.094828 -96.871026,29.105071
TX,Jackson,18,-96.864627,29.105071 -96.858227,29.105071 -96.858227,29.094828 -96.864627,29.094828 -96.864627,29.105071
TX,Jackson,19,-96.877426,29.094828 -96.871026,29.094828 -96.871026,29.084585 -96.877426,29.084585 -96.877426,29.094828
TX,Jackson,20,-96.871026,29.094828 -96.864627,29.094828 -96.864627,29.084585 -96.871026,29.084585 -96.871026,29.094828
TX,Jackson,21,-96.864627,29.094828 -96.858227,29.094828 -96.858227,29.084585 -96.864627,29.084585 -96.864627,29.094828
TX,Jackson,22,-96.877426,29.084585 -96.871026,29.084585 -96.871026,29.074342 -96.877426,29.074342 -96.877426,29.084585
TX,Jackson,23,-96.871026,29.084585 -96.864627,29.084585 -96.864627,29.074342 -96.871026,29.074342 -96.871026,29.084585
TX,Jackson,24,-96.864627,29.084585 -96.858227,29.084585 -96.858227,29.074342 -96.864627,29.074342 -96.864627,29.084585
TX,Jackson,25,-96.858227,29.122128 -96.849702,29.128179 -96.849702,29.117464 -96.858227,29.117464 -96.858227,29.122128
TX,Jackson,26,-96.840358,29.134811 -96.840358,29.12448 -96.849702,29.12448 -96.849702,29.128179 -96.840358,29.134811
TX,Jackson,27,-96.840358,29.12448 -96.840358,29.117464 -96.849702,29.117464 -96.849702,29.12448 -96.840358,29.12448
TX,Jackson,28,-96.830866,29.141547 -96.830866,29.131275 -96.840358,29.131275 -96.840358,29.134811 -96.8312,29.141312 -96.830866,29.141547
TX,Jackson,29,-96.830866,29.131275 -96.830866,29.12437 -96.840358,29.12437 -96.840358,29.131275 -96.830866,29.131275
TX,Jackson,30,-96.830866,29.12437 -96.830866,29.117464 -96.840358,29.117464 -96.840358,29.12437 -96.830866,29.12437
TX,Jackson,31,-96.844546,29.117464 -96.844546,29.112673 -96.858227,29.112673 -96.858227,29.117464 -96.844546,29.117464
TX,Jackson,32,-96.858227,29.112673 -96.851387,29.112673 -96.851387,29.10309 -96.858227,29.10309 -96.858227,29.112673
TX,Jackson,33,-96.851387,29.112673 -96.844546,29.112673 -96.844546,29.10309 -96.851387,29.10309 -96.851387,29.112673
TX,Jackson,34,-96.830866,29.117464 -96.830866,29.112673 -96.844546,29.112673 -96.844546,29.117464 -96.830866,29.117464
