State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Pecos,1,-103.01876,31.363445 -103.01876,31.351705 -103.029925,31.351705 -103.01876,31.363445
TX,Pecos,2,-103.01876,31.351705 -103.01876,31.346842 -103.034549,31.346842 -103.029925,31.351705 -103.01876,31.351705
TX,Pecos,3,-103.041089,31.339965 -103.034549,31.346842 -103.02829,31.346842 -103.02829,31.339965 -103.041089,31.339965
TX,Pecos,4,-103.02829,31.346842 -103.01876,31.346842 -103.01876,31.339965 -103.02829,31.339965 -103.02829,31.346842
TX,Pecos,5,-103.050369,31.330242 -103.045799,31.335012 -103.041089,31.339965 -103.038981,31.339965 -103.038981,31.330242 -103.050369,31.330242
TX,Pecos,6,-103.038981,31.339965 -103.03224,31.339965 -103.03224,31.330242 -103.038981,31.330242 -103.038981,31.339965
TX,Pecos,7,-103.03224,31.339965 -103.0255,31.339965 -103.0255,31.330242 -103.03224,31.330242 -103.03224,31.339965
TX,Pecos,8,-103.0255,31.339965 -103.01876,31.339965 -103.01876,31.330242 -103.0255,31.330242 -103.0255,31.339965
TX,Pecos,9,-103.064902,31.31507 -103.053697,31.326767 -103.053697,31.31507 -103.064902,31.31507
TX,Pecos,10,-103.053697,31.326767 -103.050369,31.330242 -103.048997,31.330242 -103.048997,31.31507 -103.053697,31.31507 -103.053697,31.326767
TX,Pecos,11,-103.040358,31.330242 -103.040358,31.322656 -103.048997,31.322656 -103.048997,31.330242 -103.040358,31.330242
TX,Pecos,12,-103.040358,31.322656 -103.040358,31.31507 -103.048997,31.31507 -103.048997,31.322656 -103.040358,31.322656
TX,Pecos,13,-103.031719,31.330242 -103.031719,31.322656 -103.040358,31.322656 -103.040358,31.330242 -103.031719,31.330242
TX,Pecos,14,-103.031719,31.322656 -103.031719,31.31507 -103.040358,31.31507 -103.040358,31.322656 -103.031719,31.322656
TX,Pecos,15,-103.01876,31.330242 -103.01876,31.325185 -103.031719,31.325185 -103.031719,31.330242 -103.01876,31.330242
TX,Pecos,16,-103.031719,31.325185 -103.025239,31.325185 -103.025239,31.31507 -103.031719,31.31507 -103.031719,31.325185
TX,Pecos,17,-103.025239,31.325185 -103.01876,31.325185 -103.01876,31.31507 -103.025239,31.31507 -103.025239,31.325185
TX,Pecos,18,-103.068209,31.311617 -103.068209,31.29992 -103.079414,31.29992 -103.068209,31.311617
