State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Polk,1,-95.184995,30.837316 -95.172446,30.847761 -95.172446,30.837316 -95.184995,30.837316
TX,Polk,2,-95.172446,30.847761 -95.167247,30.852087 -95.167247,30.837316 -95.172446,30.837316 -95.172446,30.847761
TX,Polk,3,-95.159906,30.858261 -95.159906,30.846244 -95.167247,30.846244 -95.167247,30.852087 -95.166496,30.852713 -95.159906,30.858261
TX,Polk,4,-95.159906,30.846244 -95.159906,30.837316 -95.167247,30.837316 -95.167247,30.846244 -95.159906,30.846244
TX,Polk,5,-95.149546,30.866982 -95.149546,30.856295 -95.159906,30.856295 -95.159906,30.858261 -95.149546,30.866982
TX,Polk,6,-95.149546,30.856295 -95.149546,30.849969 -95.159906,30.849969 -95.159906,30.856295 -95.149546,30.856295
TX,Polk,7,-95.149546,30.849969 -95.149546,30.843642 -95.159906,30.843642 -95.159906,30.849969 -95.149546,30.849969
TX,Polk,8,-95.149546,30.843642 -95.149546,30.837316 -95.159906,30.837316 -95.159906,30.843642 -95.149546,30.843642
TX,Polk,9,-95.134911,30.879302 -95.134911,30.868798 -95.147389,30.868798 -95.134911,30.879302
TX,Polk,10,-95.134911,30.868798 -95.134911,30.864186 -95.149546,30.864186 -95.149546,30.866982 -95.147389,30.868798 -95.134911,30.868798
TX,Polk,11,-95.149546,30.864186 -95.142229,30.864186 -95.142229,30.855229 -95.149546,30.855229 -95.149546,30.864186
TX,Polk,12,-95.142229,30.864186 -95.134911,30.864186 -95.134911,30.855229 -95.142229,30.855229 -95.142229,30.864186
TX,Polk,13,-95.149546,30.855229 -95.142229,30.855229 -95.142229,30.846273 -95.149546,30.846273 -95.149546,30.855229
TX,Polk,14,-95.142229,30.855229 -95.134911,30.855229 -95.134911,30.846273 -95.142229,30.846273 -95.142229,30.855229
TX,Polk,15,-95.149546,30.846273 -95.142229,30.846273 -95.142229,30.837316 -95.149546,30.837316 -95.149546,30.846273
TX,Polk,16,-95.142229,30.846273 -95.134911,30.846273 -95.134911,30.837316 -95.142229,30.837316 -95.142229,30.846273
TX,Polk,17,-95.13182,30.881905 -95.125397,30.887312 -95.11937,30.892486 -95.11937,30.881905 -95.13182,30.881905
TX,Polk,18,-95.11937,30.892486 -95.114243,30.896888 -95.114243,30.881905 -95.11937,30.881905 -95.11937,30.892486
TX,Polk,19,-95.134911,30.879302 -95.13182,30.881905 -95.124269,30.881905 -95.124269,30.875368 -95.134911,30.875368 -95.134911,30.879302
TX,Polk,20,-95.124269,30.881905 -95.114243,30.881905 -95.114243,30.875368 -95.124269,30.875368 -95.124269,30.881905
TX,Polk,21,-95.124577,30.875368 -95.124577,30.869026 -95.134911,30.869026 -95.134911,30.875368 -95.124577,30.875368
TX,Polk,22,-95.124577,30.869026 -95.124577,30.862684 -95.134911,30.862684 -95.134911,30.869026 -95.124577,30.869026
TX,Polk,23,-95.114243,30.875368 -95.114243,30.869026 -95.124577,30.869026 -95.124577,30.875368 -95.114243,30.875368
TX,Polk,24,-95.114243,30.869026 -95.114243,30.862684 -95.124577,30.862684 -95.124577,30.869026 -95.114243,30.869026
TX,Polk,25,-95.124577,30.862684 -95.124577,30.856342 -95.134911,30.856342 -95.134911,30.862684 -95.124577,30.862684
TX,Polk,26,-95.124577,30.856342 -95.124577,30.85 -95.134911,30.85 -95.134911,30.856342 -95.124577,30.856342
TX,Polk,27,-95.114243,30.862684 -95.114243,30.856342 -95.124577,30.856342 -95.124577,30.862684 -95.114243,30.862684
